label,name,notice,furigana

もえるごみ,台所ごみ,水を切って捨てる,た

もえないごみ,ガラス類,,か
資源ごみ,空き缶,水洗いをして捨てる,あ
衣類・プラスチックごみ,発泡類,水洗いをして捨てる,は
金属・皮革ごみ,金属製品,ライターはガス抜きをして,き
