label,sublabel,description,styles,bgcolor,fcolor
もえるごみ,,,img/moeru03b.svg,#ffc000,#151515
もえないごみ,,,img/moenai03.svg,#de5097,#fafafa
資源ごみ,,,img/shigen03b.svg,#b09dca,#151515
衣類・プラスチックごみ,,,img/irui_plastic03.svg,#80b740,#fafafa
金属・皮革ごみ,,,img/kinzoku_hikaku03.svg,#05b3ea,#fafafa
